personId,roadUser,gender,age,ageGroup,crashId
3486,Driver,Male,26,26_to_39,20211062
3487,Passenger,Male,56,40_to_64,20212038
3488,Passenger,Female,29,26_to_39,20213079
3489,Passenger,Male,36,26_to_39,20214072
3490,Pedestrian,Male,89,75_or_older,20211038
3491,Driver,Male,30,26_to_39,20217028
3492,Pedestrian,Male,88,75_or_older,20211227
3493,Pedestrian,Male,84,75_or_older,20218003
3494,Pedestrian,Female,75,75_or_older,20212204
3495,Driver,Male,23,17_to_25,20211047
3496,Pedestrian,Male,45,40_to_64,20213219
3497,Driver,Male,86,75_or_older,20213180
3498,Driver,Male,36,26_to_39,20212177
3499,Driver,Male,18,17_to_25,20213054
3500,Pedestrian,Female,53,40_to_64,20212182
3501,Driver,Male,66,65_to_74,20212022
3502,Motorcycle rider,Male,31,26_to_39,20211003
3503,Pedestrian,Male,68,65_to_74,20211072
3504,Motorcycle rider,Male,40,40_to_64,20213200
3505,Driver,Female,37,26_to_39,20213038
3506,Motorcycle rider,Male,50,40_to_64,20211074
3507,Driver,Male,27,26_to_39,20211028
3508,Driver,Male,50,40_to_64,20214052
3509,Passenger,Male,84,75_or_older,20213077
3510,Driver,Female,19,17_to_25,20211115
3511,Pedestrian,Female,83,75_or_older,20211014
3512,Driver,Female,67,65_to_74,20212165
3513,Motorcycle rider,Male,29,26_to_39,20211252
3514,Driver,Male,70,65_to_74,20211104
3515,Pedestrian,Female,81,75_or_older,20212211
3516,Passenger,Male,24,17_to_25,20214063
3517,Driver,Male,45,40_to_64,20211069
3518,Driver,Male,27,26_to_39,20215099
3519,Driver,Female,35,26_to_39,20217029
3520,Driver,Male,51,40_to_64,20214032
3521,Pedestrian,Male,68,65_to_74,20212141
3522,Pedal cyclist,Male,71,65_to_74,20211096
3523,Motorcycle rider,Male,18,17_to_25,20211095
3524,Motorcycle rider,Male,63,40_to_64,20212089
3525,Driver,Female,57,40_to_64,20213061
3526,Motorcycle rider,Male,51,40_to_64,20211142
3527,Motorcycle rider,Male,30,26_to_39,20213048
3528,Motorcycle rider,Male,25,17_to_25,20213033
3529,Driver,Male,19,17_to_25,20213156
3530,Driver,Female,47,40_to_64,20212188
3531,Passenger,Male,64,40_to_64,20214069
3532,Driver,Female,17,17_to_25,20211158
3533,Motorcycle rider,Male,27,26_to_39,20213041
3534,Pedal cyclist,Male,52,40_to_64,20211144
3535,Driver,Male,66,65_to_74,20216021
3536,Driver,Female,50,40_to_64,20212018
3537,Pedestrian,Male,83,75_or_older,20211186
3538,Motorcycle rider,Male,19,17_to_25,20214053
3539,Driver,Male,60,40_to_64,20217022
3540,Driver,Male,30,26_to_39,20211216
3541,Driver,Female,25,17_to_25,20215004
3542,Motorcycle rider,Male,32,26_to_39,20213105
3543,Pedestrian,Female,84,75_or_older,20212103
3544,Pedestrian,Male,79,75_or_older,20212047
3545,Driver,Male,17,17_to_25,20215021
3546,Pedestrian,Male,1,0_to_16,20212064
3547,Passenger,Female,66,65_to_74,20211228
3548,Passenger,Female,78,75_or_older,20211218
3549,Driver,Male,32,26_to_39,20215073
3550,Driver,Female,43,40_to_64,20213173
3551,Driver,Female,61,40_to_64,20213034
3552,Driver,Male,27,26_to_39,20213171
3553,Driver,Male,32,26_to_39,20215009
3554,Pedestrian,Female,44,40_to_64,20214073
3555,Pedestrian,Male,23,17_to_25,20213146
3556,Driver,Female,26,26_to_39,20213146
3557,Motorcycle rider,Male,45,40_to_64,20215098
3558,Driver,Male,13,0_to_16,20213099
3559,Driver,Female,25,17_to_25,20211162
3560,Motorcycle rider,Male,22,17_to_25,20212099
3561,Passenger,Female,48,40_to_64,20213100
3562,Driver,Female,20,17_to_25,20212003
3563,Pedestrian,Female,80,75_or_older,20212107
3564,Driver,Female,14,0_to_16,20215096
3565,Pedestrian,Male,90,75_or_older,20211150
3566,Driver,Male,88,75_or_older,20215070
3567,Driver,Male,54,40_to_64,20215070
3568,Driver,Female,75,75_or_older,20211259
3569,Driver,Female,69,65_to_74,20211036
3570,Passenger,Female,77,75_or_older,20211036
3571,Driver,Male,25,17_to_25,20212166
3572,Pedal cyclist,Male,72,65_to_74,20212178
3573,Driver,Male,67,65_to_74,20212020
3574,Motorcycle rider,Male,26,26_to_39,20213124
3575,Motorcycle rider,Male,45,40_to_64,20215148
3576,Pedestrian,Male,69,65_to_74,20211255
3577,Passenger,Male,48,40_to_64,20213125
3578,Driver,Male,16,0_to_16,20217013
3579,Driver,Male,48,40_to_64,20213072
3580,Pedestrian,Male,70,65_to_74,20214038
3581,Driver,Male,27,26_to_39,20211134
3582,Passenger,Male,55,40_to_64,20213225
3583,Driver,Male,39,26_to_39,20215045
3584,Pedestrian,Male,21,17_to_25,20211192
3585,Passenger,Male,29,26_to_39,20211053
3586,Pedestrian,Male,70,65_to_74,20215083
