locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20172073_VIC_Major Cities of Australia_Melbourne - Inner East_Whitehorse_Arterial Road,VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse,Arterial Road,20172073
20175121_WA_Very Remote Australia_Western Australia - Outback (North)_Broome_Local Road,WA,Very Remote Australia,Western Australia - Outback (North),Broome,Local Road,20175121
20172231_VIC_Inner Regional Australia_Ballarat_Pyrenees_National or State Highway,VIC,Inner Regional Australia,Ballarat,Pyrenees,National or State Highway,20172231
20173217_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Sub-arterial Road,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,20173217
20177027_NT_Remote Australia_Northern Territory - Outback_West Arnhem_Sub-arterial Road,NT,Remote Australia,Northern Territory - Outback,West Arnhem,Sub-arterial Road,20177027
20171006_NSW_Major Cities of Australia_Sydney - South West_Camden_Sub-arterial Road,NSW,Major Cities of Australia,Sydney - South West,Camden,Sub-arterial Road,20171006
20171024_NSW_Outer Regional Australia_New England and North West_Narrabri_Sub-arterial Road,NSW,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road,20171024
20172003_VIC_Major Cities of Australia_Mornington Peninsula_Frankston_Local Road,VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Local Road,20172003
20171100_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Sub-arterial Road,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road,20171100
20174007_SA_Major Cities of Australia_Adelaide - North_Salisbury_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Sub-arterial Road,20174007
20173120_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Isaac_National or State Highway,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway,20173120
20173196_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Local Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,20173196
20175107_WA_Major Cities of Australia_Perth - North West_Joondalup_Arterial Road,WA,Major Cities of Australia,Perth - North West,Joondalup,Arterial Road,20175107
20171197_NSW_Outer Regional Australia_Central West_Parkes_Local Road,NSW,Outer Regional Australia,Central West,Parkes,Local Road,20171197
20173048_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Sub-arterial Road,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road,20173048
20173097_QLD_Remote Australia_Mackay - Isaac - Whitsunday_Isaac_National or State Highway,QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway,20173097
20176028_TAS_Outer Regional Australia_West and North West_Latrobe (Tas.)_Arterial Road,TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),Arterial Road,20176028
20172175_VIC_Inner Regional Australia_Hume_Strathbogie_National or State Highway,VIC,Inner Regional Australia,Hume,Strathbogie,National or State Highway,20172175
20171206_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Singleton_National or State Highway,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway,20171206
20171084_NSW_Major Cities of Australia_Sydney - Sutherland_Sutherland_Arterial Road,NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,Arterial Road,20171084
20173092_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_National or State Highway,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,National or State Highway,20173092
20173083_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Sub-arterial Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Sub-arterial Road,20173083
20173141_QLD_Major Cities of Australia_Brisbane - South_Brisbane_National or State Highway,QLD,Major Cities of Australia,Brisbane - South,Brisbane,National or State Highway,20173141
20174012_SA_Major Cities of Australia_Adelaide - North_Salisbury_Local Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Local Road,20174012
20174049_SA_Major Cities of Australia_Adelaide - Central and Hills_Prospect_Arterial Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Prospect,Arterial Road,20174049
20173117_QLD_Major Cities of Australia_Moreton Bay - South_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Sub-arterial Road,20173117
20171186_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_National or State Highway,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,National or State Highway,20171186
20171053_NSW_Outer Regional Australia_Riverina_Murrumbidgee_National or State Highway,NSW,Outer Regional Australia,Riverina,Murrumbidgee,National or State Highway,20171053
20173150_QLD_Inner Regional Australia_Mackay - Isaac - Whitsunday_Mackay_Sub-arterial Road,QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Sub-arterial Road,20173150
20174067_SA_Major Cities of Australia_Adelaide - Central and Hills_Norwood Payneham and St Peters_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Sub-arterial Road,20174067
20171151_NSW_Inner Regional Australia_Riverina_Cootamundra-Gundagai_Arterial Road,NSW,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road,20171151
20175076_WA_Outer Regional Australia_Western Australia - Outback (South)_Greater Geraldton_Local Road,WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton,Local Road,20175076
20174074_SA_Major Cities of Australia_Adelaide - Central and Hills_Burnside_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Burnside,Sub-arterial Road,20174074
20177012_NT_Outer Regional Australia_Darwin_Litchfield_Arterial Road,NT,Outer Regional Australia,Darwin,Litchfield,Arterial Road,20177012
20171025_NSW_Major Cities of Australia_Sydney - South West_Fairfield_Local Road,NSW,Major Cities of Australia,Sydney - South West,Fairfield,Local Road,20171025
20171064_NSW_Outer Regional Australia_New England and North West_Inverell_Arterial Road,NSW,Outer Regional Australia,New England and North West,Inverell,Arterial Road,20171064
20177021_NT_Outer Regional Australia_Darwin_Litchfield_Local Road,NT,Outer Regional Australia,Darwin,Litchfield,Local Road,20177021
20175086_WA_Very Remote Australia_Western Australia - Outback (North)_East Pilbara_National or State Highway,WA,Very Remote Australia,Western Australia - Outback (North),East Pilbara,National or State Highway,20175086
20175022_WA_Very Remote Australia_Western Australia - Outback (South)_Dundas_National or State Highway,WA,Very Remote Australia,Western Australia - Outback (South),Dundas,National or State Highway,20175022
20177008_NT_Very Remote Australia_Northern Territory - Outback_West Daly_Access road,NT,Very Remote Australia,Northern Territory - Outback,West Daly,Access road,20177008
20174058_SA_Inner Regional Australia_South Australia - South East_Coorong_National or State Highway,SA,Inner Regional Australia,South Australia - South East,Coorong,National or State Highway,20174058
20171315_NSW_Inner Regional Australia_New England and North West_Tamworth_National or State Highway,NSW,Inner Regional Australia,New England and North West,Tamworth,National or State Highway,20171315
20172044_VIC_Major Cities of Australia_Melbourne - South East_Monash_Arterial Road,VIC,Major Cities of Australia,Melbourne - South East,Monash,Arterial Road,20172044
20175033_WA_Inner Regional Australia_Perth - South East_Armadale_National or State Highway,WA,Inner Regional Australia,Perth - South East,Armadale,National or State Highway,20175033
201750029_WA_Outer Regional Australia_Bunbury_Nannup_Arterial Road,WA,Outer Regional Australia,Bunbury,Nannup,Arterial Road,201750029
20173200_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Local Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road,20173200
20172019_VIC_Major Cities of Australia_Melbourne - Inner_Moonee Valley_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - Inner,Moonee Valley,Sub-arterial Road,20172019
20173140_QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Sub-arterial Road,20173140
20176027_TAS_Inner Regional Australia_Hobart_Hobart_National or State Highway,TAS,Inner Regional Australia,Hobart,Hobart,National or State Highway,20176027
20171248_NSW_Major Cities of Australia_Sydney - Sutherland_Sutherland_Arterial Road,NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,Arterial Road,20171248
20173149_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Local Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road,20173149
20171020_NSW_Outer Regional Australia_Capital Region_Goulburn Mulwaree_Sub-arterial Road,NSW,Outer Regional Australia,Capital Region,Goulburn Mulwaree,Sub-arterial Road,20171020
20171115_NSW_Inner Regional Australia_Central West_Cabonne_National or State Highway,NSW,Inner Regional Australia,Central West,Cabonne,National or State Highway,20171115
20172194_VIC_Major Cities of Australia_Melbourne - Inner_Melbourne_Collector Road,VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Collector Road,20172194
20173209_QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_Local Road,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Local Road,20173209
20173228_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Collector Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Collector Road,20173228
20172017_VIC_Inner Regional Australia_Geelong_Surf Coast_Local Road,VIC,Inner Regional Australia,Geelong,Surf Coast,Local Road,20172017
20171257_NSW_Outer Regional Australia_Far West and Orana_Warrumbungle_Access road,NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,Access road,20171257
20173184_QLD_Major Cities of Australia_Gold Coast_Gold Coast_National or State Highway,QLD,Major Cities of Australia,Gold Coast,Gold Coast,National or State Highway,20173184
20172128_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Arterial Road,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Arterial Road,20172128
20171119_NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury_Arterial Road,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road,20171119
20171139_NSW_Major Cities of Australia_Sydney - Eastern Suburbs_Waverley_Arterial Road,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Arterial Road,20171139
20171077_NSW_Inner Regional Australia_Riverina_Cootamundra-Gundagai_Arterial Road,NSW,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road,20171077
20175088_WA_Inner Regional Australia_Bunbury_Capel_Arterial Road,WA,Inner Regional Australia,Bunbury,Capel,Arterial Road,20175088
20171234_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_Arterial Road,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Arterial Road,20171234
20175130_WA_Major Cities of Australia_Perth - Inner_Mosman Park_National or State Highway,WA,Major Cities of Australia,Perth - Inner,Mosman Park,National or State Highway,20175130
20174019_SA_Major Cities of Australia_Adelaide - West_West Torrens_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - West,West Torrens,Sub-arterial Road,20174019
20173204_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Local Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Local Road,20173204
20175037_WA_Very Remote Australia_Western Australia - Outback (North)_Derby-West Kimberley_National or State Highway,WA,Very Remote Australia,Western Australia - Outback (North),Derby-West Kimberley,National or State Highway,20175037
20172145_VIC_Major Cities of Australia_Melbourne - West_Moorabool_Local Road,VIC,Major Cities of Australia,Melbourne - West,Moorabool,Local Road,20172145
20177014_NT_Outer Regional Australia_Darwin_Palmerston_Arterial Road,NT,Outer Regional Australia,Darwin,Palmerston,Arterial Road,20177014
20171163_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,20171163
20174026_SA_Inner Regional Australia_Adelaide - North_Playford_National or State Highway,SA,Inner Regional Australia,Adelaide - North,Playford,National or State Highway,20174026
20171198_NSW_Inner Regional Australia_Murray_Albury_Local Road,NSW,Inner Regional Australia,Murray,Albury,Local Road,20171198
20171302_NSW_Major Cities of Australia_Sydney - South West_Fairfield_Collector Road,NSW,Major Cities of Australia,Sydney - South West,Fairfield,Collector Road,20171302
20171179_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_National or State Highway,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,20171179
20173015_QLD_Remote Australia_Central Queensland_Banana_Local Road,QLD,Remote Australia,Central Queensland,Banana,Local Road,20173015
20173197_QLD_Outer Regional Australia_Wide Bay_South Burnett_Sub-arterial Road,QLD,Outer Regional Australia,Wide Bay,South Burnett,Sub-arterial Road,20173197
20173212_QLD_Outer Regional Australia_Townsville_Townsville_Local Road,QLD,Outer Regional Australia,Townsville,Townsville,Local Road,20173212
20175059_WA_Major Cities of Australia_Perth - South West_Cockburn_Arterial Road,WA,Major Cities of Australia,Perth - South West,Cockburn,Arterial Road,20175059
20172006_VIC_Inner Regional Australia_Hume_Mitchell_National or State Highway,VIC,Inner Regional Australia,Hume,Mitchell,National or State Highway,20172006
20172215_VIC_Inner Regional Australia_Warrnambool and South West_Colac Otway_National or State Highway,VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,National or State Highway,20172215
20171344_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Coffs Harbour_Sub-arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Sub-arterial Road,20171344
20175019_WA_Major Cities of Australia_Perth - North East_Swan_Arterial Road,WA,Major Cities of Australia,Perth - North East,Swan,Arterial Road,20175019
20173047_QLD_Inner Regional Australia_Darling Downs - Maranoa_Toowoomba_Sub-arterial Road,QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Sub-arterial Road,20173047
20175008_WA_Major Cities of Australia_Perth - North West_Stirling_National or State Highway,WA,Major Cities of Australia,Perth - North West,Stirling,National or State Highway,20175008
20171292_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Lake Macquarie_Local Road,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Local Road,20171292
20173114_QLD_Inner Regional Australia_Central Queensland_Rockhampton_Sub-arterial Road,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Sub-arterial Road,20173114
20171199_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_Collector Road,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Collector Road,20171199
20173019_QLD_Outer Regional Australia_Wide Bay_South Burnett_Local Road,QLD,Outer Regional Australia,Wide Bay,South Burnett,Local Road,20173019
20172100_VIC_Inner Regional Australia_Shepparton_Campaspe_Local Road,VIC,Inner Regional Australia,Shepparton,Campaspe,Local Road,20172100
20173181_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Sub-arterial Road,20173181
20173031_QLD_Inner Regional Australia_Ipswich_Somerset_Sub-arterial Road,QLD,Inner Regional Australia,Ipswich,Somerset,Sub-arterial Road,20173031
20171022_NSW_Inner Regional Australia_Sydney - North Sydney and Hornsby_Hornsby_National or State Highway,NSW,Inner Regional Australia,Sydney - North Sydney and Hornsby,Hornsby,National or State Highway,20171022
20173115_QLD_Very Remote Australia_Queensland - Outback_Cook_Sub-arterial Road,QLD,Very Remote Australia,Queensland - Outback,Cook,Sub-arterial Road,20173115
20175027_WA_Major Cities of Australia_Perth - North West_Stirling_National or State Highway,WA,Major Cities of Australia,Perth - North West,Stirling,National or State Highway,20175027
20171209_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Upper Hunter_National or State Highway,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway,20171209
20174041_SA_Major Cities of Australia_Adelaide - North_Playford_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Playford,Sub-arterial Road,20174041
20177009_NT_Outer Regional Australia_Darwin_Litchfield_Local Road,NT,Outer Regional Australia,Darwin,Litchfield,Local Road,20177009
20171279_NSW_Inner Regional Australia_Far West and Orana_Dubbo_National or State Highway,NSW,Inner Regional Australia,Far West and Orana,Dubbo,National or State Highway,20171279
20172187_VIC_Outer Regional Australia_Warrnambool and South West_Corangamite_Arterial Road,VIC,Outer Regional Australia,Warrnambool and South West,Corangamite,Arterial Road,20172187
20173053_QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_National or State Highway,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,National or State Highway,20173053
20173102_QLD_Outer Regional Australia_Townsville_Townsville_National or State Highway,QLD,Outer Regional Australia,Townsville,Townsville,National or State Highway,20173102
20172052_VIC_Major Cities of Australia_Melbourne - West_Melton_Local Road,VIC,Major Cities of Australia,Melbourne - West,Melton,Local Road,20172052
20171276_NSW_Major Cities of Australia_Sydney - Inner South West_Canterbury-Bankstown_Arterial Road,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road,20171276
20173132_QLD_Outer Regional Australia_Townsville_Townsville_National or State Highway,QLD,Outer Regional Australia,Townsville,Townsville,National or State Highway,20173132
20175093_WA_Inner Regional Australia_Bunbury_Dardanup_Arterial Road,WA,Inner Regional Australia,Bunbury,Dardanup,Arterial Road,20175093
20172180_VIC_Major Cities of Australia_Melbourne - South East_Casey_National or State Highway,VIC,Major Cities of Australia,Melbourne - South East,Casey,National or State Highway,20172180
20172200_VIC_Major Cities of Australia_Melbourne - Inner East_Manningham_Arterial Road,VIC,Major Cities of Australia,Melbourne - Inner East,Manningham,Arterial Road,20172200
20172043_VIC_Inner Regional Australia_Latrobe - Gippsland_Bass Coast_National or State Highway,VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,National or State Highway,20172043
20172090_VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Arterial Road,VIC,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road,20172090
20172087_VIC_Outer Regional Australia_Latrobe - Gippsland_East Gippsland_National or State Highway,VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,National or State Highway,20172087
20173133_QLD_Outer Regional Australia_Cairns_Cassowary Coast_Collector Road,QLD,Outer Regional Australia,Cairns,Cassowary Coast,Collector Road,20173133
20173058_QLD_Inner Regional Australia_Central Queensland_Rockhampton_Access road,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Access road,20173058
20176010_TAS_Outer Regional Australia_West and North West_Central Coast (Tas.)_Collector Road,TAS,Outer Regional Australia,West and North West,Central Coast (Tas.),Collector Road,20176010
20171029_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Collector Road,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,20171029
20175101_WA_Outer Regional Australia_Western Australia - Outback (South)_Greater Geraldton_National or State Highway,WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton,National or State Highway,20175101
20171272_NSW_Major Cities of Australia_Illawarra_Shellharbour_Collector Road,NSW,Major Cities of Australia,Illawarra,Shellharbour,Collector Road,20171272
20171005_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20171005
20171211_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Cessnock_Arterial Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,20171211
20172125_VIC_Major Cities of Australia_Melbourne - Inner South_Kingston (Vic.)_Arterial Road,VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),Arterial Road,20172125
20171169_NSW_Major Cities of Australia_Sydney - North Sydney and Hornsby_Hornsby_National or State Highway,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,National or State Highway,20171169
20171133_NSW_Major Cities of Australia_Illawarra_Wollongong_Collector Road,NSW,Major Cities of Australia,Illawarra,Wollongong,Collector Road,20171133
20174090_SA_Outer Regional Australia_South Australia - South East_Loxton Waikerie_Access road,SA,Outer Regional Australia,South Australia - South East,Loxton Waikerie,Access road,20174090
20173024_QLD_Inner Regional Australia_Wide Bay_Bundaberg_National or State Highway,QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway,20173024
20173035_QLD_Remote Australia_Central Queensland_Central Highlands (Qld)_National or State Highway,QLD,Remote Australia,Central Queensland,Central Highlands (Qld),National or State Highway,20173035
20171338_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20171338
20173121_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Sub-arterial Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road,20173121
20173076_QLD_Very Remote Australia_Queensland - Outback_Murweh_National or State Highway,QLD,Very Remote Australia,Queensland - Outback,Murweh,National or State Highway,20173076
20174060_SA_Inner Regional Australia_South Australia - South East_Murray Bridge_National or State Highway,SA,Inner Regional Australia,South Australia - South East,Murray Bridge,National or State Highway,20174060
20172166_VIC_Inner Regional Australia_Ballarat_Moorabool_National or State Highway,VIC,Inner Regional Australia,Ballarat,Moorabool,National or State Highway,20172166
20171224_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Local Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Local Road,20171224
20173005_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Local Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Local Road,20173005
20171282_NSW_Outer Regional Australia_Riverina_Junee_Sub-arterial Road,NSW,Outer Regional Australia,Riverina,Junee,Sub-arterial Road,20171282
20171164_NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Wingecarribee_National or State Highway,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National or State Highway,20171164
20172143_VIC_Inner Regional Australia_Shepparton_Campaspe_Collector Road,VIC,Inner Regional Australia,Shepparton,Campaspe,Collector Road,20172143
20174073_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Arterial Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Arterial Road,20174073
20173173_QLD_Outer Regional Australia_Wide Bay_Bundaberg_National or State Highway,QLD,Outer Regional Australia,Wide Bay,Bundaberg,National or State Highway,20173173
20173038_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Collector Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Collector Road,20173038
20173003_QLD_Inner Regional Australia_Ipswich_Somerset_Sub-arterial Road,QLD,Inner Regional Australia,Ipswich,Somerset,Sub-arterial Road,20173003
20172184_VIC_Inner Regional Australia_Geelong_Golden Plains_National or State Highway,VIC,Inner Regional Australia,Geelong,Golden Plains,National or State Highway,20172184
20173069_QLD_Inner Regional Australia_Toowoomba_Toowoomba_Local Road,QLD,Inner Regional Australia,Toowoomba,Toowoomba,Local Road,20173069
20171254_NSW_Outer Regional Australia_New England and North West_Inverell_National or State Highway,NSW,Outer Regional Australia,New England and North West,Inverell,National or State Highway,20171254
20175028_WA_Inner Regional Australia_Bunbury_Harvey_Local Road,WA,Inner Regional Australia,Bunbury,Harvey,Local Road,20175028
20175102_WA_Major Cities of Australia_Perth - South West_Rockingham_National or State Highway,WA,Major Cities of Australia,Perth - South West,Rockingham,National or State Highway,20175102
20172063_VIC_Inner Regional Australia_Ballarat_Ballarat_Local Road,VIC,Inner Regional Australia,Ballarat,Ballarat,Local Road,20172063
20171168_NSW_Outer Regional Australia_Central West_Cowra_Arterial Road,NSW,Outer Regional Australia,Central West,Cowra,Arterial Road,20171168
20172188_VIC_Major Cities of Australia_Melbourne - Inner South_Kingston (Vic.)_Collector Road,VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),Collector Road,20172188
20172193_VIC_Outer Regional Australia_Shepparton_Moira_Sub-arterial Road,VIC,Outer Regional Australia,Shepparton,Moira,Sub-arterial Road,20172193
20173203_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Sub-arterial Road,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road,20173203
20175066_WA_Major Cities of Australia_Perth - South West_Rockingham_National or State Highway,WA,Major Cities of Australia,Perth - South West,Rockingham,National or State Highway,20175066
20173052_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Sub-arterial Road,20173052
20171252_NSW_Outer Regional Australia_Far West and Orana_Dubbo_National or State Highway,NSW,Outer Regional Australia,Far West and Orana,Dubbo,National or State Highway,20171252
20174040_SA_Major Cities of Australia_Adelaide - North_Playford_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Playford,Sub-arterial Road,20174040
20172171_VIC_Major Cities of Australia_Melbourne - West_Maribyrnong_Arterial Road,VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,Arterial Road,20172171
20173073_QLD_Outer Regional Australia_Townsville_Townsville_National or State Highway,QLD,Outer Regional Australia,Townsville,Townsville,National or State Highway,20173073
20172109_VIC_Major Cities of Australia_Melbourne - North East_Darebin_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Darebin,Sub-arterial Road,20172109
20175034_WA_Very Remote Australia_Western Australia - Outback (North)_Broome_National or State Highway,WA,Very Remote Australia,Western Australia - Outback (North),Broome,National or State Highway,20175034
20171250_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_Arterial Road,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road,20171250
20172082_VIC_Major Cities of Australia_Melbourne - West_Maribyrnong_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,Sub-arterial Road,20172082
20171086_NSW_Inner Regional Australia_Sydney - Sutherland_Sutherland_Arterial Road,NSW,Inner Regional Australia,Sydney - Sutherland,Sutherland,Arterial Road,20171086
20171161_NSW_Inner Regional Australia_Mid North Coast_Kempsey_Arterial Road,NSW,Inner Regional Australia,Mid North Coast,Kempsey,Arterial Road,20171161
20171047_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_National or State Highway,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,20171047
20171065_NSW_Very Remote Australia_Far West and Orana_Unincorporated NSW_Sub-arterial Road,NSW,Very Remote Australia,Far West and Orana,Unincorporated NSW,Sub-arterial Road,20171065
20171281_NSW_Major Cities of Australia_Sydney - South West_Liverpool_National or State Highway,NSW,Major Cities of Australia,Sydney - South West,Liverpool,National or State Highway,20171281
20174028_SA_Major Cities of Australia_Adelaide - North_Salisbury_National or State Highway,SA,Major Cities of Australia,Adelaide - North,Salisbury,National or State Highway,20174028
20173014_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Collector Road,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Collector Road,20173014
20174003_SA_Major Cities of Australia_Adelaide - Central and Hills_Burnside_Arterial Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Burnside,Arterial Road,20174003
20176017_TAS_Outer Regional Australia_Launceston and North East_Northern Midlands_Sub-arterial Road,TAS,Outer Regional Australia,Launceston and North East,Northern Midlands,Sub-arterial Road,20176017
20173055_QLD_Major Cities of Australia_Ipswich_Ipswich_Sub-arterial Road,QLD,Major Cities of Australia,Ipswich,Ipswich,Sub-arterial Road,20173055
20174087_SA_Inner Regional Australia_South Australia - South East_Alexandrina_Collector Road,SA,Inner Regional Australia,South Australia - South East,Alexandrina,Collector Road,20174087
20171082_NSW_Outer Regional Australia_Central West_Bland_Arterial Road,NSW,Outer Regional Australia,Central West,Bland,Arterial Road,20171082
20171147_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_National or State Highway,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,20171147
