locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20241235_NSW_Inner Regional Australia_Illawarra_Wollongong_Arterial Road,NSW,Inner Regional Australia,Illawarra,Wollongong,Arterial Road,20241235
20243087_QLD_Inner Regional Australia_Wide Bay_South Burnett_Collector Road,QLD,Inner Regional Australia,Wide Bay,South Burnett,Collector Road,20243087
20244061_SA_Remote Australia_South Australia - South East_Tatiara_National or State Highway,SA,Remote Australia,South Australia - South East,Tatiara,National or State Highway,20244061
20241009_NSW_Inner Regional Australia_Richmond - Tweed_Tweed_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,20241009
20241072_NSW_Outer Regional Australia_Mid North Coast_Mid-Coast_Sub-arterial Road,NSW,Outer Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road,20241072
20243129_QLD_Major Cities of Australia_Ipswich_Ipswich_National or State Highway,QLD,Major Cities of Australia,Ipswich,Ipswich,National or State Highway,20243129
20242219_VIC_Inner Regional Australia_North West_Ararat_National or State Highway,VIC,Inner Regional Australia,North West,Ararat,National or State Highway,20242219
20241219_NSW_Inner Regional Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury_Arterial Road,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road,20241219
20244010_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light_Arterial Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Arterial Road,20244010
20244040_SA_Major Cities of Australia_Adelaide - North_Salisbury_Collector Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Collector Road,20244040
20243171_QLD_Outer Regional Australia_Cairns_Cairns_National or State Highway,QLD,Outer Regional Australia,Cairns,Cairns,National or State Highway,20243171
20242075_VIC_Inner Regional Australia_Warrnambool and South West_Colac Otway_Arterial Road,VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Arterial Road,20242075
20243079_QLD_Very Remote Australia_Queensland - Outback_McKinlay_Sub-arterial Road,QLD,Very Remote Australia,Queensland - Outback,McKinlay,Sub-arterial Road,20243079
20241045_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Singleton_Local Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Local Road,20241045
20243017_QLD_Outer Regional Australia_Central Queensland_Gladstone_National or State Highway,QLD,Outer Regional Australia,Central Queensland,Gladstone,National or State Highway,20243017
20241160_NSW_Inner Regional Australia_Riverina_Wagga Wagga_Sub-arterial Road,NSW,Inner Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road,20241160
20241081_NSW_Inner Regional Australia_Central West_Lithgow_National or State Highway,NSW,Inner Regional Australia,Central West,Lithgow,National or State Highway,20241081
20241135_NSW_Outer Regional Australia_New England and North West_Moree Plains_National or State Highway,NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway,20241135
20241209_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_National or State Highway,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),National or State Highway,20241209
20242140_VIC_Inner Regional Australia_Warrnambool and South West_Moyne_National or State Highway,VIC,Inner Regional Australia,Warrnambool and South West,Moyne,National or State Highway,20242140
20242142_VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Sub-arterial Road,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Sub-arterial Road,20242142
20243107_QLD_Outer Regional Australia_Cairns_Cairns_Sub-arterial Road,QLD,Outer Regional Australia,Cairns,Cairns,Sub-arterial Road,20243107
20243020_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Local Road,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Local Road,20243020
