crashId,locationId
20241248,20241248_NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland_Collector Road
20243268,20243268_QLD_Very Remote Australia_Queensland - Outback_Barcaldine_Local Road
20242071,20242071_VIC_Major Cities of Australia_Melbourne - West_Wyndham_Arterial Road
20241020,20241020_NSW_Outer Regional Australia_New England and North West_Glen Innes Severn_National or State Highway
20241294,20241294_NSW_Inner Regional Australia_Richmond - Tweed_Lismore_National or State Highway
20241304,20241304_NSW_Inner Regional Australia_Richmond - Tweed_Ballina_Sub-arterial Road
20242123,20242123_VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_National or State Highway
20242144,20242144_VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Local Road
20241199,20241199_NSW_Major Cities of Australia_Sydney - Northern Beaches_Northern Beaches_Arterial Road
20243066,20243066_QLD_Outer Regional Australia_Townsville_Townsville_Local Road
20243233,20243233_QLD_Outer Regional Australia_Central Queensland_Gladstone_National or State Highway
20243203,20243203_QLD_Outer Regional Australia_Central Queensland_Livingstone_National or State Highway
20242209,20242209_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Arterial Road
20242056,20242056_VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges_Sub-arterial Road
20242130,20242130_VIC_Inner Regional Australia_Ballarat_Golden Plains_Arterial Road
20243109,20243109_QLD_Outer Regional Australia_Cairns_Cassowary Coast_National or State Highway
20243010,20243010_QLD_Very Remote Australia_Queensland - Outback_Cook_Sub-arterial Road
20243181,20243181_QLD_Major Cities of Australia_Ipswich_Ipswich_Sub-arterial Road
20246018,20246018_TAS_Inner Regional Australia_Hobart_Clarence_Arterial Road
20241071,20241071_NSW_Major Cities of Australia_Sydney - Inner South West_Georges River_Arterial Road
20241186,20241186_NSW_Inner Regional Australia_Central West_Lithgow_National or State Highway
20243078,20243078_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road
20241223,20241223_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
