crashId,locationId
20241269,NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Mid-Coast_Arterial Road
20242093,VIC_Major Cities of Australia_Melbourne - Inner_Darebin_Local Road
20242176,VIC_Inner Regional Australia_Hume_Murrindindi_Sub-arterial Road
20242255,VIC_Inner Regional Australia_Ballarat_Ballarat_Sub-arterial Road
20241066,NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Wingecarribee_Local Road
20242175,VIC_Inner Regional Australia_Melbourne - South East_Cardinia_Access road
20243207,QLD_Inner Regional Australia_Central Queensland_Rockhampton_Local Road
20242029,VIC_Major Cities of Australia_Melbourne - Outer East_Maroondah_Local Road
20241246,NSW_Inner Regional Australia_Murray_Albury_Arterial Road
20241078,NSW_Major Cities of Australia_Richmond - Tweed_Tweed_Local Road
20243064,QLD_Outer Regional Australia_Wide Bay_North Burnett_National or State Highway
20241013,NSW_Remote Australia_New England and North West_Moree Plains_Sub-arterial Road
20246019,TAS_Outer Regional Australia_South East_Huon Valley_National or State Highway
20242257,VIC_Major Cities of Australia_Mornington Peninsula_Mornington Peninsula_Collector Road
20241138,NSW_Major Cities of Australia_Sydney - South West_Fairfield_Local Road
20244014,SA_Major Cities of Australia_Adelaide - Central and Hills_Unley_Sub-arterial Road
20244069,SA_Inner Regional Australia_South Australia - South East_Alexandrina_Arterial Road
20242053,VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Arterial Road
20243111,QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_National or State Highway
20243067,QLD_Outer Regional Australia_Wide Bay_Gympie_Local Road
20242186,VIC_Major Cities of Australia_Melbourne - West_Melton_National or State Highway
20242250,VIC_Major Cities of Australia_Mornington Peninsula_Frankston_Local Road
20243167,QLD_Outer Regional Australia_Townsville_Burdekin_National or State Highway
20243106,QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road
20242098,VIC_Major Cities of Australia_Melbourne - Outer East_Knox_Local Road
20241179,NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Sub-arterial Road
20242070,VIC_Inner Regional Australia_Melbourne - North East_Whittlesea_Arterial Road
20243261,QLD_Very Remote Australia_Queensland - Outback_Mareeba_Local Road
20243227,QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Local Road
20242243,VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Local Road
20242102,VIC_Major Cities of Australia_Melbourne - South East_Monash_Arterial Road
20241109,NSW_Very Remote Australia_Far West and Orana_Unincorporated NSW_National or State Highway
20243187,QLD_Inner Regional Australia_Wide Bay_South Burnett_Local Road
20241301,NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_Local Road
20243135,QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Local Road
20241248,NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland_Collector Road
20243268,QLD_Very Remote Australia_Queensland - Outback_Barcaldine_Local Road
20242071,VIC_Major Cities of Australia_Melbourne - West_Wyndham_Arterial Road
20241020,NSW_Outer Regional Australia_New England and North West_Glen Innes Severn_National or State Highway
20241294,NSW_Inner Regional Australia_Richmond - Tweed_Lismore_National or State Highway
20241304,NSW_Inner Regional Australia_Richmond - Tweed_Ballina_Sub-arterial Road
20242123,VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_National or State Highway
20242144,VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Local Road
20241199,NSW_Major Cities of Australia_Sydney - Northern Beaches_Northern Beaches_Arterial Road
20243066,QLD_Outer Regional Australia_Townsville_Townsville_Local Road
20243233,QLD_Outer Regional Australia_Central Queensland_Gladstone_National or State Highway
20243203,QLD_Outer Regional Australia_Central Queensland_Livingstone_National or State Highway
20242209,VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Arterial Road
20242056,VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges_Sub-arterial Road
20242130,VIC_Inner Regional Australia_Ballarat_Golden Plains_Arterial Road
20243109,QLD_Outer Regional Australia_Cairns_Cassowary Coast_National or State Highway
20243010,QLD_Very Remote Australia_Queensland - Outback_Cook_Sub-arterial Road
20243181,QLD_Major Cities of Australia_Ipswich_Ipswich_Sub-arterial Road
20246018,TAS_Inner Regional Australia_Hobart_Clarence_Arterial Road
20241071,NSW_Major Cities of Australia_Sydney - Inner South West_Georges River_Arterial Road
20241186,NSW_Inner Regional Australia_Central West_Lithgow_National or State Highway
20243078,QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road
20241223,NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20241221,NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Maitland_Arterial Road
20241143,NSW_Inner Regional Australia_Murray_Greater Hume_Arterial Road
20243242,QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Sub-arterial Road
20242189,VIC_Major Cities of Australia_Melbourne - South East_Kingston (Vic.)_Local Road
20242170,VIC_Major Cities of Australia_Melbourne - Inner East_Manningham_Arterial Road
20243043,QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Sub-arterial Road
20241140,NSW_Inner Regional Australia_Central West_Bathurst_National or State Highway
20244063,SA_Remote Australia_South Australia - Outback_Wudinna_National or State Highway
20241131,NSW_Outer Regional Australia_New England and North West_Inverell_Arterial Road
20242172,VIC_Major Cities of Australia_Melbourne - West_Brimbank_Arterial Road
20241111,NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Maitland_Arterial Road
20242055,VIC_Major Cities of Australia_Melbourne - North East_Darebin_Collector Road
20241017,NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Local Road
20244067,SA_Major Cities of Australia_Adelaide - West_Charles Sturt_Collector Road
20246024,TAS_Very Remote Australia_Launceston and North East_Flinders (Tas.)_Arterial Road
20241254,NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Sub-arterial Road
20243011,QLD_Inner Regional Australia_Ipswich_Scenic Rim_Collector Road
20246011,TAS_Outer Regional Australia_West and North West_Burnie_Arterial Road
20242177,VIC_Major Cities of Australia_Mornington Peninsula_Mornington Peninsula_Pedestrian Thoroughfare
20241127,NSW_Outer Regional Australia_New England and North West_Armidale_Access road
20241210,NSW_Outer Regional Australia_New England and North West_Tamworth_Arterial Road
20242132,VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Sub-arterial Road
20242184,VIC_Inner Regional Australia_Ballarat_Ballarat_Arterial Road
20241253,NSW_Inner Regional Australia_Far West and Orana_Dubbo_Sub-arterial Road
20243024,QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_National or State Highway
20242224,VIC_Major Cities of Australia_Melbourne - West_Melton_Local Road
20243031,QLD_Major Cities of Australia_Gold Coast_Gold Coast_Local Road
20242069,VIC_Major Cities of Australia_Melbourne - North East_Darebin_Local Road
20243156,QLD_Major Cities of Australia_Ipswich_Ipswich_Local Road
20242251,VIC_Major Cities of Australia_Geelong_Greater Geelong_Sub-arterial Road
20244034,SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide Hills_Collector Road
