personId,crashId
1389,20232068
1390,20232007
1391,20233102
1392,20233005
1393,20231291
1394,20234038
1395,20232057
1396,20233252
1397,20233252
1398,20233213
1399,20232143
1400,20234012
1401,20231207
1402,20233013
1403,20231221
1404,20233211
1405,20231210
1406,20233108
1407,20231090
1408,20232127
1409,20232017
1410,20233016
1411,20233004
1412,20233004
1413,20233004
1414,20231053
1415,20234010
1416,20233163
1417,20233237
1418,20233097
1419,20231007
1420,20231135
1421,20233222
1422,20234082
1423,20233095
1424,20231034
1425,20232186
1426,20237001
1427,20231008
1428,20233006
1429,20231040
1430,20231075
1431,20233140
1432,20233185
1433,20232034
1434,20232133
1435,20232173
1436,20234080
1437,20234106
1438,20233019
1439,20232232
1440,20233038
1441,20232199
1442,20232231
1443,20231071
1444,20231113
1445,20232157
1446,20234091
1447,20233201
1448,20231042
1449,20231225
